filename;prompt
asthma-income-protection-person-jogging-park-banner.jpg;A person breathing easily and smiling while enjoying a jog through a crisp autumn park, demonstrating a full and active life.
asthma-income-protection-using-preventer-inhaler-featured.jpg;A close-up of a person correctly using a preventer inhaler, highlighting responsible self-management of their condition.
asthma-income-protection-gp-discussing-plan-midcon.jpg;A compassionate GP discussing an asthma action plan with a patient in a bright and modern clinic room.
autoimmune-disorders-income-protection-diverse-group-supportive-banner.jpg;A diverse group of people of different ages and ethnicities standing together, strong and supportive, representing the wide community affected by autoimmune conditions.
autoimmune-disorders-income-protection-mindfulness-yoga-serene-featured.jpg;A person calmly practicing mindfulness or yoga in a serene setting, symbolising control and management over their health and well-being.
autoimmune-disorders-income-protection-immune-cell-animation-midcon.jpg;A clear, simple animation showing an immune cell mistakenly attacking a healthy body cell, with a shield then appearing to protect it, representing effective treatment.
barretts-oesophagus-income-protection-family-meal-outdoor-banner.jpg;A person in their 50s enjoying a meal with family at an outdoor table, laughing and relaxed, symbolising a life unburdened by their condition.
barretts-oesophagus-income-protection-medical-illustration-oesophagus-featured.jpg;A clear medical illustration showing the oesophagus and stomach, with a highlighted section indicating the cellular changes of Barrett's Oesophagus.
barretts-oesophagus-income-protection-specialist-explaining-diagram-midcon.jpg;A reassuring specialist in a clinic, pointing to a diagram and explaining the importance of regular check-ups to a patient.
diabetes-income-protection-checking-blood-sugar-banner.jpg;A person with diabetes confidently checking their blood sugar levels with a modern glucose meter before going for a run, showing control and an active lifestyle.
diabetes-income-protection-hba1c-animation-graphic-featured.jpg;A clear and simple animated graphic showing a blood vessel with sugar molecules, illustrating the difference between a normal and high HbA1c level.
diabetes-income-protection-dietitian-discussing-food-midcon.jpg;A friendly dietitian or diabetes nurse discussing healthy food choices with a patient, with a colourful selection of fresh vegetables on the table.
crohns-disease-income-protection-hiking-hill-energy-banner.jpg;A person in their 30s happily hiking up a hill, full of energy, showing that life doesn't stop with a Crohn's diagnosis.
crohns-disease-income-protection-gastroenterologist-explaining-diagram-featured.jpg;A compassionate gastroenterologist explaining a diagram of the digestive system to a patient in a bright, modern clinic.
crohns-disease-income-protection-biologic-injection-home-midcon.jpg;A close-up of a person self-administering a biologic injection in the comfort of their home, highlighting modern, effective treatment.
basal-cell-carcinoma-income-protection-applying-sunscreen-beach-banner.jpg;A smiling, healthy-looking person in their 50s applying sunscreen while enjoying a sunny day at a British beach, promoting a message of sun safety and vitality.
basal-cell-carcinoma-income-protection-dermatologist-explaining-diagram-featured.jpg;A reassuring dermatologist pointing to a diagram of the skin, explaining the simple and effective treatment for BCC to a patient.
basal-cell-carcinoma-income-protection-signed-policy-handshake-midcon.jpg;A close-up of a signed insurance policy document being handed over with a handshake, symbolising peace of mind and successful financial planning.
gout-income-protection-pain-free-walk-dog-banner.jpg;A man in his 50s enjoying a brisk, pain-free walk with his dog in the countryside, looking happy and healthy.
gout-income-protection-uric-acid-crystals-animation-featured.jpg;A simple, clear animated graphic showing uric acid crystals forming in a joint, and then dissolving with effective treatment.
gout-income-protection-healthcare-professional-diet-plan-midcon.jpg;A healthcare professional discussing a healthy diet plan with a patient, with a focus on fresh fruit, vegetables, and water.
menopause-income-protection-confident-woman-office-banner.jpg;A vibrant, confident woman in her 50s leading a meeting in a modern office, looking energetic and in control.
menopause-income-protection-gp-supportive-conversation-featured.jpg;A compassionate female GP sitting with a patient, having a supportive and open conversation about menopause symptoms.
menopause-income-protection-outdoor-yoga-well-being-midcon.jpg;A woman enjoying an outdoor yoga class with a diverse group of friends, looking serene and healthy, symbolising well-being.
sleep-apnoea-income-protection-waking-refreshed-sunlight-banner.jpg;A person waking up looking refreshed and smiling, with morning sunlight streaming into the bedroom, symbolising a good night's sleep.
sleep-apnoea-income-protection-modern-cpap-machine-featured.jpg;A close-up of a modern, quiet CPAP machine on a bedside table, presented as a normal and effective health device.
sleep-apnoea-income-protection-sleep-consultant-explaining-graph-midcon.jpg;A friendly sleep consultant explaining a sleep study graph to a patient in a calm and reassuring manner.
hyperthyroidism-income-protection-vibrant-woman-park-banner.jpg;A woman looking vibrant and full of energy, enjoying a brisk walk in a beautiful park, symbolising a return to health and well-being.
hyperthyroidism-income-protection-endocrinologist-explaining-test-featured.jpg;A compassionate endocrinologist explaining a normal Thyroid Function Test result to a relieved patient in a clinical setting.
hyperthyroidism-income-protection-thyroid-gland-animation-midcon.jpg;A simple animated graphic showing a hyperactive thyroid gland calming down to a normal state, visually representing successful treatment.
stress-income-protection-calm-focused-desk-banner.jpg;A person looking calm and focused at their desk in a healthy, supportive office environment with good natural light and plants.
stress-income-protection-mindfulness-meditation-outdoors-featured.jpg;A person practicing mindfulness or meditation in a peaceful outdoor setting, symbolising taking control of their mental well-being.
stress-income-protection-supportive-manager-conversation-midcon.jpg;A supportive manager having a quiet, one-to-one conversation with an employee in a private meeting room, showing a compassionate workplace.
thyroid-conditions-income-protection-healthy-balanced-yoga-banner.jpg;A person looking healthy and balanced, practicing yoga in a calm and bright room, conveying a sense of well-being and control.
thyroid-conditions-income-protection-thyroid-gland-animation-featured.jpg;A simple, animated graphic of the thyroid gland, showing it returning to a normal, balanced state, representing effective treatment.
thyroid-conditions-income-protection-pharmacist-repeat-prescription-midcon.jpg;A friendly pharmacist handing over a repeat prescription of levothyroxine to a smiling customer, showing routine, easy management.
ulcerative-colitis-income-protection-picnic-park-friends-banner.jpg;A person in their 30s enjoying a picnic in the park with friends, laughing and eating without worry, representing a life in remission.
