filename;prompt
addisons-disease-peaceful-future-security-banner;A serene and hopeful image of a person in their 40s looking out over a calm UK coastal scene at sunrise, conveying a sense of peace and future security.
addisons-disease-compassionate-advisor-policy-featured;A close-up, compassionate shot of a life insurance advisor explaining a policy to a client in a bright, modern office, focusing on their reassuring hands gesturing over the document.
addisons-disease-sunflower-support-icons-midcon;A stylised graphic of the Hidden Disabilities Sunflower logo surrounded by icons representing support, community, and healthcare, against a soft, reassuring green background.
anal-cancer-survivor-hopeful-sunrise-banner;A hopeful, middle-aged cancer survivor stands on a hill at sunrise, looking towards the future with a supportive partner by their side, landscape photography style.
anal-cancer-compassionate-advisor-guidance-featured;A close-up, compassionate shot of an insurance advisor's hands gently guiding a client through a policy document in a warm, comfortable office setting.
anal-cancer-support-network-logos-midcon;A graphic collage featuring the logos of Macmillan Cancer Support, Cancer Research UK, and the NHS, representing a network of reliable support and information.
angina-life-insurance-active-hiker-banner;A vibrant, active person in their 50s hiking a scenic UK coastal path, symbolizing a full life that isn't defined by a heart condition.
angina-life-insurance-professional-advisor-policy-featured;A compassionate and professional-looking insurance advisor in a bright, modern office, sitting across from a client and pointing to a reassuring clause in a policy document.
angina-life-insurance-artery-stent-graphic-midcon;A clear, animated graphic showing a heart with a widened artery after a stent procedure, illustrating the positive outcomes of treatment for angina.
angioedema-life-insurance-peaceful-picnic-park-banner;A woman in her 40s is pictured enjoying a peaceful picnic in a vibrant UK park, conveying a sense of calm and well-being despite having a manageable condition.
angioedema-life-insurance-advisor-policy-pen-featured;A warm and inviting image of an insurance advisor's hands holding a pen, pointing to a key section of a policy document for a client, shot in soft, natural light.
angioedema-life-insurance-skin-layer-graphic-midcon;A simple and clear animated graphic showing the difference between a normal skin layer and a skin layer with angioedema swelling, using reassuring colours.
ankylosing-spondylitis-gentle-yoga-session-banner;A person in their 40s with ankylosing spondylitis is shown enjoying a gentle yoga session in a bright, calming studio, conveying proactive self-care and control over their condition.
ankylosing-spondylitis-reassuring-advisor-document-featured;A close-up, reassuring shot of a friendly insurance advisor's hands, carefully highlighting a key point in a policy document for a client.
ankylosing-spondylitis-spine-inflammation-graphic-midcon;An animated graphic clearly illustrating the human spine, with highlighted areas showing where ankylosing spondylitis causes inflammation, for educational context.
anorexia-life-insurance-woodland-walk-recovery-banner;A woman in her late 20s, with a healthy and happy appearance, is enjoying a walk in a sunny, green UK woodland, conveying a sense of peace and a positive future after recovery.
